names,lat,lon,geometry,,100000
Uber Verdant bangalore,130513000,775601000,POINT (77.69994199999999 12.906937),,
Aashrayaa Eternia bangalore,130985000,775984000,POINT (77.62795570000002 12.8842757),,
Tirumala Heights bangalore,130435000,775460000,POINT (77.67201399999999 12.878639),,
Total Environment Pursuit of A Radical Rhapsody bangalore,131117000,775441000,POINT (77.7205139 12.99143),,
New Dawn bangalore,130865000,775945000,POINT (77.6979503 12.8640688),,
SJR Blue Waters bangalore,130417000,775444000,POINT (77.66750209999999 12.8847986),,
Salarpuria Sattva Opus bangalore,130646000,775652000,POINT (77.5088305 13.0445527),,
Embassy Lake Terraces bangalore,130721000,775684000,POINT (77.5933108 13.0499669),,
Yuva Eka bangalore,131019000,775522000,POINT (77.6421833 12.8759951),,
Grand Gandharva bangalore,130467000,775664000,POINT (77.51022449999999 12.9320964),,
LGCL New Life Villas bangalore,130690000,775515000,POINT (77.685152 12.884808),,
Reliaable Residenza bangalore,130388000,775840000,POINT (77.69006399999999 12.8656562),,
NBR Trifecta bangalore,130641000,775814000,POINT (77.8432415 12.8381526),,
Cynosure White Spaces bangalore,130829000,775951000,POINT (77.78185359999999 12.9899643),,
Vaswani Walnut Creek bangalore,130618000,775569000,POINT (77.6938473 12.8935672),,
Reliaable Dollar Colony bangalore,131052000,775531000,POINT (77.6951194 12.8681733),,
The Lake View Address bangalore,131107000,775563000,POINT (77.669921 12.833466),,
Provident Rays Of Dawn bangalore,130454000,775858000,POINT (77.47161009999999 12.8816933),,
Godrej Eternity Life Plus bangalore,130907000,775708000,POINT (77.5418038 12.8561767),,
GAG Classic Amrutha bangalore,129966000,776879000,POINT (77.54395509999999 12.8750421),,
Peninsula Heights bangalore,130043000,777012000,POINT (77.592652 12.915558),,
The Address Makers Serenity bangalore,130078000,776857000,POINT (77.63288799999999 12.92781),,
GR Regent Park bangalore,129959000,776650000,POINT (77.5936002 12.8551283),,
Purva 270 bangalore,129989000,776621000,POINT (77.6670031 12.9863396),,
Concorde Spring Meadows bangalore,129933000,776784000,POINT (77.5051758 13.064828),,
Emmanuel Heights bangalore,130155000,776720000,POINT (77.67382889999999 12.8921796),,
Salarpuria Sattva Greenage bangalore,130088000,776672000,POINT (77.6313115 12.9024372),,
Brigade Panorama Phase II bangalore,130133000,776983000,POINT (77.45370779999999 12.8870631),,
Total Environment In That Quiet Earth bangalore,129933000,776803000,POINT (77.677491 13.0527303),,
DSR White Waters Phase II bangalore,130024000,776739000,POINT (77.7168506 12.9174004),,
Salarpuria Sattva Senorita bangalore,129942000,776780000,POINT (77.6825606 12.9105194),,
Prestige Lake Ridge bangalore,130108000,776582000,POINT (77.54116719999999 12.8968323),,
Brigade 7 Gardens bangalore,130049000,777003000,POINT (77.53021439999999 12.895314),,
Godrej United bangalore,130115000,776874000,POINT (77.70449769999999 12.9943081),,
MJR Clique Hydra bangalore,130034000,776866000,POINT (77.6661048 12.8294758),,
Legacy Vivienda bangalore,130100000,776893000,POINT (77.66031029999999 13.1857708),,
Total Environment After The Rain bangalore,130123000,776964000,POINT (77.6016927 13.1573953),,
VBC Oracle Heaven bangalore,129989000,777031000,POINT (77.64373189999999 13.0730645),,
Assetz Soul & Soil bangalore,130117000,776721000,POINT (77.53819899999999 12.930827),,
Bhartiya City Nikoo Homes bangalore,130153000,777023000,POINT (77.644525 13.085357),,
Purva The Sound Of Water bangalore,129952000,776995000,POINT (77.6019434 12.8505636),,
Sky Court bangalore,130068000,776640000,POINT (77.7023823 12.9418086),,
Brigade Exotica - Burgundy Tower bangalore,130147000,776796000,POINT (77.74501289999999 13.0443079),,
Vajram Esteva bangalore,129968000,776634000,POINT (77.6864719 12.9306574),,
Brigade Orchards Luxury Apartments bangalore,129997000,776751000,POINT (77.72362079999999 13.230003),,
Aratt Milano bangalore,130115000,776790000,POINT (77.6978713 12.8677967),,
Skanda Avani C99 bangalore,130161000,776787000,POINT (77.724401 12.90952),,
Brigade Altamont bangalore,130145000,776696000,POINT (77.6417051 13.0609295),,
Mana Foliage bangalore,129943000,776770000,POINT (77.74269489999999 12.834063),,
Brigade Meadows bangalore,130126000,776546000,POINT (77.50819419999999 12.8141256),,
Sansidh Galaxy bangalore,130108000,776670000,POINT (77.62399860000001 13.0658986),,
Myhna Maple bangalore,130041000,776898000,POINT (77.74157699999999 12.934066),,
DSMAX STARRY bangalore,129926000,776759000,POINT (77.6511943 12.8288136),,
Brigade Bricklane bangalore,129950000,776733000,POINT (77.6320051 13.1003515),,
Orbis BVS Avenues bangalore,130037000,777000000,POINT (77.74662649999999 12.9582656),,
Arvind Skylands bangalore,130011000,776698000,POINT (77.6014 13.0892362),,
Prestige Jindal City bangalore,129923000,777038000,POINT (77.48404239999999 13.0542876),,
Orbis BVS Avenues bangalore,130031000,776927000,POINT (77.74662649999999 12.9582656),,
Aratt Premier bangalore,130152000,776807000,POINT (77.7095717 12.9813098),,
Vajram Esteva bangalore,130077000,776918000,POINT (77.6864719 12.9306574),,
Prestige Jindal City bangalore,130075000,776677000,POINT (77.48404239999999 13.0542876),,
Global Golden Pearl bangalore,130085000,777016000,POINT (77.77711099999999 12.787143),,
Gopalan Sanskriti bangalore,130055000,776989000,POINT (77.4958233 12.9128816),,
Kolte Patil I TOWERS Exente bangalore,129971000,776942000,POINT (77.669984 12.849516),,
Venkat Windsor East bangalore,130027000,776889000,POINT (77.7082434 13.0375925),,
Provident Park Square Phase II bangalore,130026000,776684000,POINT (77.5406447 12.8636392),,
Svamitva Sylvia CIty bangalore,129995000,776828000,POINT (77.7619136 13.0530435),,
Sobha Silicon Oasis bangalore,129965000,776596000,POINT (77.6612248 12.867993),,
Disha Courtyard bangalore,130060000,776924000,POINT (77.7568397 12.974269),,
Krish Eirianwen bangalore,129927000,776624000,POINT (77.7252647 13.0183013),,
Mahaveer Celesse bangalore,129991000,776696000,POINT (77.61794379999999 13.1500949),,
Zonasha Paradiso bangalore,129999000,776852000,POINT (77.7038489 12.9754771),,
DSMAX SKYLISHCIOUS bangalore,130165000,776841000,POINT (77.7865073 12.834025),,
Saranya Soham bangalore,130120000,776820000,POINT (77.7166496 12.9492971),,
NYK Metro Urbano bangalore,130053000,776740000,POINT (77.6376131 12.8919021),,
Aratt Vivera bangalore,129994000,776588000,POINT (77.6258232 12.8687962),,
Sekhar Olympus bangalore,129976000,776702000,POINT (77.6579922 13.0311397),,
Ozone Urbana bangalore,130031000,776647000,POINT (77.6635981 13.2032646),,
GM Infinite E City Town Phase II bangalore,130018000,776621000,POINT (77.66407 12.8192308),,
The Gran Carmen Address bangalore,130028000,776586000,POINT (77.711096 12.90064),,
Hiranandani Glen Classic bangalore,130111000,776854000,POINT (77.5743451 13.0530787),,
Advaitha Aksha bangalore,129969000,776671000,POINT (77.6405757 12.9262427),,
Legacy Salvador bangalore,130027000,776732000,POINT (77.58103299999999 13.1201364),,
Salarpuria Sattva Anugraha bangalore,130085000,776835000,POINT (77.5186374 12.9827531),,
Concorde Napa Valley bangalore,129954000,776592000,POINT (77.51237039999999 12.7861871),,
Salarpuria Sattva Aspire bangalore,130038000,776936000,POINT (77.6543973 13.083073),,
Brick N Land Garden and Skies bangalore,130159000,776855000,POINT (77.6446577 12.9085662),,
42 Queens Square bangalore,130090000,776759000,POINT (77.7825326 12.8525569),,
Assetz Earth & Essence bangalore,130018000,776737000,POINT (77.64160230000002 13.1480106),,
Salarpuria Sattva Aspire bangalore,129958000,776770000,POINT (77.6543973 13.083073),,
Mantri Webcity bangalore,130017000,776627000,POINT (77.6511247 13.0735045),,
Brigade Buena Vista Phase I bangalore,130127000,776545000,POINT (77.73973289999999 13.0639183),,
Shriram Greenfield Phase 2 bangalore,130014000,776806000,POINT (77.75127239999999 13.0708496),,
Rohan Upavan bangalore,130166000,776911000,POINT (77.6611702 13.0559341),,
SSB Urban Lotus bangalore,129981000,776737000,POINT (77.6862204 12.8671125),,
Pride Sunrise bangalore,130153000,776614000,POINT (77.6032484 12.8754555),,
SLV Pragathi Amber bangalore,130060000,776871000,POINT (77.69773719999999 12.8363904),,
SKS Garden bangalore,130003000,776946000,POINT (77.5945627 12.9715987),,
Bhartiya City bangalore,130026000,776808000,POINT (77.6423729 13.0832763),,
Assetz Marq Phase 2 bangalore,130123000,776596000,POINT (77.76198749999999 13.0244172),,
Surbacon Aspen bangalore,130055000,776941000,POINT (77.62403549999999 13.0861508),,
Artha Emprasa Startup City bangalore,129966000,776811000,POINT (77.802262 13.119653),,
M1 Terra Alegria bangalore,130161000,776809000,POINT (77.77487239999999 13.1042593),,
Banashree Arka Forest View bangalore,130152000,776938000,POINT (77.66835089999999 12.7425352),,
Godrej Aqua bangalore,130033000,776707000,POINT (77.6376119 13.1461447),,
SLV Central park bangalore,129985000,776604000,POINT (77.75171829999999 13.0371494),,
Sobha Palm Court bangalore,130121000,776552000,POINT (77.60629639999999 13.1041146),,
MJR Clique Hercules bangalore,130010000,776744000,POINT (77.66608479999999 12.8297958),,
Klassik Landmark bangalore,130132000,777005000,POINT (77.67757539999999 12.8956917),,
Subhams Antique City bangalore,130036000,776818000,POINT (77.7523614 13.0468846),,
Kritan Iris bangalore,130146000,776704000,POINT (77.6966127 12.8361701),,
